window_start,num_ann,num_wd,num_ann_prefixes,num_wd_prefixes,avg_path_len,max_path_len,avg_unique_path,num_dup_ann,num_dup_wd,num_imp_wd,avg_edit_dist,max_edit_dist,avg_iat,as_len_eq_7,as_len_eq_8,as_len_eq_9,as_len_eq_10,as_len_eq_11,as_len_eq_12,as_len_eq_13,as_len_eq_14,as_len_eq_15,as_len_eq_16,as_len_eq_17,max_len_eq_7,max_len_eq_8,max_len_eq_9,max_len_eq_10,max_len_eq_11,max_len_eq_12,max_len_eq_13,max_len_eq_14,max_len_eq_15,num_igp,num_egp,num_incomplete,avg_packet_size,label
0,43,2,33,2,4.866666666666666,9,4.4222222222222225,0,0,0,14.295454545454545,34,0.5681818181818182,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,140,0,125,0,5.25,8,5.178571428571429,0,0,0,4.374100719424461,28,0.10071942446043165,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,218,2,142,2,5.113636363636363,7,4.954545454545454,0,0,0,3.9726027397260273,27,0.0730593607305936,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,105,0,98,0,4.961904761904762,9,4.819047619047619,0,0,0,6.730769230769231,35,0.15384615384615385,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,32,2,31,2,5.676470588235294,13,4.705882352941177,0,0,0,17.666666666666668,58,0.45454545454545453,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,52,0,37,0,6.153846153846154,9,5.0576923076923075,0,0,0,16.431372549019606,37,0.2549019607843137,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,120,2,95,2,4.926229508196721,11,4.622950819672131,3,0,0,9.40495867768595,43,0.23140495867768596,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,46,0,36,0,5.326086956521739,11,5.065217391304348,0,0,0,13.88888888888889,40,0.35555555555555557,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,69,2,49,2,5.816901408450704,15,5.577464788732394,0,0,0,14.757142857142858,60,0.2857142857142857,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,71,0,47,0,6.056338028169014,15,5.577464788732394,0,0,0,17.1,63,0.4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,193,0,154,0,4.507772020725389,10,4.383419689119171,0,0,0,4.671875,38,0.046875,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11,1402,0,846,0,4.713266761768901,11,4.172610556348074,64,0,0,2.3033547466095645,43,0.019271948608137045,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12,7471,2,4790,2,4.907935233507293,20,4.677371872072795,137,0,0,4.651498929336189,85,0.003747323340471092,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2467,2,2226,2,5.4029971648440664,21,5.012150668286756,0,0,0,8.83711507293355,92,0.009724473257698542,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,577,0,529,0,5.967071057192374,15,5.181975736568457,0,0,0,10.647569444444445,60,0.03125,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15,1369,0,1241,0,6.184806428049671,15,5.340394448502557,0,0,0,7.871345029239766,62,0.019736842105263157,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16,169,2,148,2,7.853801169590644,20,5.5321637426900585,0,0,0,14.323529411764707,73,0.07647058823529412,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,134,2,118,2,5.845588235294118,20,5.448529411764706,0,0,0,16.68148148148148,71,0.17037037037037037,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,128,0,86,0,6.265625,22,5.1640625,0,0,0,15.661417322834646,90,0.11023622047244094,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,272,0,244,0,5.702205882352941,12,5.481617647058823,0,0,0,6.704797047970479,45,0.05166051660516605,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20,17,2,13,2,4.842105263157895,11,4.2105263157894735,0,0,0,16.72222222222222,36,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,15,0,14,0,6.066666666666666,11,4.866666666666666,0,0,0,26.214285714285715,45,0.5714285714285714,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,116,0,48,0,5.422413793103448,12,5.232758620689655,0,0,0,5.678260869565217,50,0.23478260869565218,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
